10 ascending bubble 3900 
100 ascending bubble 187600 
1000 ascending bubble 4600700 
10000 ascending bubble 74449300 
100000 ascending bubble 4201637400 
1000000 ascending bubble 404751824700 
10 descending bubble 38200 
100 descending bubble 290700 
1000 descending bubble 3110100 
10000 descending bubble 107431500 
100000 descending bubble 8498095500 
1000000 descending bubble 1486098460200 
10 random bubble 1600 
100 random bubble 27800 
1000 random bubble 3318100 
10000 random bubble 341066900 
100000 random bubble 34314209500 
1000000 random bubble 2118769075900 
10 ascending insertion 66200 
100 ascending insertion 5300 
1000 ascending insertion 60200 
10000 ascending insertion 372600 
100000 ascending insertion 2810000 
1000000 ascending insertion 3884800 
10 descending insertion 56100 
100 descending insertion 125200 
1000 descending insertion 1831100 
10000 descending insertion 56434500 
100000 descending insertion 1727767600 
1000000 descending insertion 229405580800 
10 random insertion 500 
100 random insertion 2400 
1000 random insertion 146300 
10000 random insertion 9635300 
100000 random insertion 1103872200 
1000000 random insertion 113425329600 
10 ascending merge 27600 
100 ascending merge 216200 
1000 ascending merge 631900 
10000 ascending merge 3477000 
100000 ascending merge 7354500 
1000000 ascending merge 64546200 
10 descending merge 90800 
100 descending merge 271800 
1000 descending merge 730400 
10000 descending merge 6763300 
100000 descending merge 12927400 
1000000 descending merge 137931800 
10 random merge 1300 
100 random merge 6500 
1000 random merge 241600 
10000 random merge 2350200 
100000 random merge 15891900 
1000000 random merge 170431900 
10 ascending quick 18200 
100 ascending quick 393500 
1000 ascending quick 2318200 
10000 ascending quick 13175900 
100000 ascending quick 957648700 
1000000 ascending quick 109379055100 
10 descending quick 86000 
100 descending quick 162100 
1000 descending quick 1646400 
10000 descending quick 39536100 
100000 descending quick 3072154800 
1000000 descending quick 364988432300 
10 random quick 700 
100 random quick 24500 
1000 random quick 125300 
10000 random quick 1440000 
100000 random quick 17668200 
1000000 random quick 86645300 
